topic,date_time,source,author,intro,link,title,lang,category,image_urls,content
Race in education|Access to university|Race issues|Higher education|Students|letters,2016-02-01T19:56:16,guardian,,Letters: A slightly higher proportion of the BME population attend university than their white British counterparts but fewer achieve the ‘good’ degree that is so important for future success,https://www.theguardian.com/education/2016/feb/01/minding-the-diversity-gap-in-uk-universities,Minding the diversity gap in UK universities,en,UK|education,,"While welcoming the prime minister’s latest announcement that universities must be transparent about the admission of black and minority ethnic students (Top universities stand by record on diversity, 1 February), an issue of greater importance is the attainment of BME students once at university.
A slightly higher proportion of the BME population attend university than their white British counterparts, but fewer achieve the “good” degree – a first or 2:1 – that is so important for future success. (A recent study has shown that BME graduates are less likely to be employed six months after graduating than their white colleagues, and earn less.) Of all UK-domiciled students graduating in 2013 across all universities, 33% more of the white cohort received a good degree than the BME cohort. This is in stark contrast to the position in schools, where many ethnic groups outperform white schoolchildren.
Don't let social mobility fade out in the noise of university reform Read more
We know from the research that this gap cannot be explained away by prior qualifications, subject of study or other student characteristics. Yet this disparity has not received the attention it deserves; perhaps it has been just too uncomfortable and difficult to deal with. At Kingston University we are determined to address this gap and are holding ourselves to account by making the gap a board-level key performance indicator. At the heart of our approach is a university-wide strategy and the use of the Guardian’s value-added methodology, which has allowed us to raise awareness by demonstrating clearly to our staff at faculty, school and course level how their BME students are falling short of the attainment we should be expecting given their entry qualifications and subject of study.
We do not have all the answers as to why this is – the issues are clearly complex – but we are committed to working with our staff and students to tackle this major failing in higher education.
Julius Weinberg
Vice-chancellor, Kingston University, London
• The Higher Education Act 2004 made university admissions a matter of academic freedom. If the government were serious about broadening access, it could amend the act to give the Office for Fair Access the power to ensure university admissions processes were fair, using information it already has. Unfortunately, the government’s recent green paper proposes the abolition of Offa.
David Pole
Bridgend
• Join the debate – email guardian.letters@theguardian.com"
Faith schools|Lines|Schools,2016-02-01T08:00:22,guardian,Ros Asquith,Nicky Morgan offers a vocabulary lesson,https://www.theguardian.com/education/picture/2016/feb/01/lack-of-devotion-faith-schools-ros-asquith-lines,A lack of devotion,en,UK|education,,
Judiciary|Family law|Legal aid|UK criminal justice|news,2016-02-01T06:00:20,guardian,Owen Bowcott,Scale of intimidation faced by those on the bench revealed as concerns raised over impact of legal aid cuts in family courts,https://www.theguardian.com/law/2016/feb/01/100-judges-and-magistrates-received-death-threats-over-cases-in-past-five-years,100 judges and magistrates received death threats over cases in past five years,en,UK|law,,"Scale of intimidation faced by those on the bench revealed as concerns raised over impact of legal aid cuts in family courts
A hundred judges and magistrates have received written threats connected to cases they presided over during the past five years, the Ministry of Justice has revealed.
The admission that those on the bench are subject to such a high level of intimidation comes after a whistleblowing legal action launched by a district judge highlighting courtroom dangers.
Claire Gilham’s claim before an employment tribunal includes details of a death threat she received while hearing family cases at Warrington county court.
The influx of unrepresented litigants in person, who are no longer entitled to legal aid to pay for lawyers, has added to the difficulties family judges face in controlling emotive child custody hearings.
Earlier this week Labour’s justice spokesman, Andy Slaughter, put down a written question seeking information on how many judges or magistrates received threatening correspondence relating to hearings they have presided over since 2011.
Replying, Shailesh Vara, the justice minister responsible for courts and legal aid, pointed out that there are around 20,000 judges and magistrates in England and Wales.
The annual figures show how many judges and magistrates in England and Wales reported receiving threatening correspondence: in 2011 – 20; in 2012 – 12; in 2013 – 19; in 2014 – 18; and in 2015 – 31.
Last year’s leap in numbers may be an indication of a growing problem. Slaughter, the MP for Hammersmith, said he was “shocked” at the figures he uncovered, and insisted the lord chancellor had a duty to “ensure the safety of everyone who works in our courts”.
At the end of last year, Slaughter obtained figures through another written question showing that nearly 7,000 knives had been confiscated at crown courts and magistrates courts in England and Wales during 2014/15. “This is breathtaking lawlessness which the government must tackle immediately in order to ensure the safety of court staff,” Slaughter said.
In his responses, Vara said: “We have a robust security and safety system in place to protect all court users. Any threats to judges or magistrates are taken extremely seriously, and within Her Majesty’s Courts and Tribunals Service there is a security team to co-ordinate effective judicial security and incident investigation, working closely with senior judiciary and police agencies to provide the necessary support.”"
Terry Wogan|The Guardian|Newspapers & magazines|National newspapers|Newspapers|Radio 2|letters,2016-02-01T18:25:54,guardian,,"Letters: David Bowie gets a full front-page photo and an entire edition, practically, to himself. Terry Wogan merits a quarter of the front page and a miserly half-page obit",https://www.theguardian.com/media/2016/feb/01/wogans-world-clearly-wasnt-wild-enough-for-the-guardian,Wogan’s world clearly wasn’t wild enough for the Guardian,en,UK|media,,"David Bowie, with all his drug-fuelled nonsense and his strictly limited appeal, gets a full front-page photo and an entire edition, practically, to himself (12 January). Terry Wogan merits a quarter of the front page and a miserly half-page obit (1 February). One wonders what you’ll do when David Attenborough goes. Probably about like Wogan. Like Wogan, he’s led a blameless and profoundly useful life. Just not very, shall we be kind and say, colourful? I wish you would stop trying to suck up to yoof.
Lynne Reid Banks
Shepperton, Surrey
• I liked Mark Lawson’s piece (1 February), but I’d like to point out that Togs means “Terry’s Old Geezers and Gals”. To be called a geezer is unacceptable!
Hester Doherty
Shrewsbury
• Join the debate – email guardian.letters@theguardian.com"
Law|Surveillance|news,2016-02-01T14:46:15,guardian,Owen Bowcott|Scarlet Kim|Carly Nyst,Highly critical report says proposed legislation must be reviewed to ensure obligations on tech industry are clear,https://www.theguardian.com/law/2016/feb/01/investigatory-powers-bill-snoopers-charter-lacks-clarity-mps-warn,"Investigatory powers bill: snooper's charter lacks clarity, MPs warn",en,UK|law,,"The government’s investigatory powers bill lacks clarity and is sowing confusion among tech firms about the extent to which “internet connection records” will be collected, a parliamentary select committee has warned.
The highly critical report by the House of Commons science and technology committee says there are widespread doubts about key definitions in the legislation, “not to mention the definability, of a number of the terms”.
The admission that many MPs and technology experts are baffled will reinforce political concerns that such a complex bill is being pushed through parliament at speed. Other select committees are meanwhile preparing assessments of different aspects of the bill.
Investigatory powers bill: the key points Read more
Launching the report, the Conservative MP Nicola Blackwood, who is chair of the committee, said: “It is vital we get the balance right between protecting our security and the health of our economy. We need our security services to be able to do their job and prevent terrorism, but as legislators we need to be careful not to inadvertently disadvantage the UK’s rapidly growing tech sector.
“The current lack of clarity within the draft investigatory powers bill is causing concern amongst businesses... The government must urgently review the legislation so that the obligations on the industry are clear and proportionate.
“There remain questions about the feasibility of collecting and storing internet connection records (ICRs), including concerns about ensuring security for the records from hackers. The bill was intended to provide clarity to the industry, but the current draft contains very broad and ambiguous definitions of ICRs, which are confusing communications providers. This must be put right for the bill to achieve its stated security goals.”
The collection of ICRs is to allow law enforcement agencies to identify the communications service to which a device has connected. The report calls on the government to ensure that obligations it is imposing on industry are both clear and proportionate.
The committee accepts the principle that intelligence and security agencies should “in tightly prescribed circumstances be able to seek to obtain unencrypted data from communications service providers”.
The report says: “However, there is confusion about how the draft bill would affect end-to-end encrypted communications, where decryption might not be possible by a communications provider that had not added the original encryption.
“The government should clarify and state clearly in the codes of practice (which will be published alongside the bill itself) that it will not be seeking unencrypted content in such cases, in line with the way existing legislation is currently applied.”
Commenting on encryption, Blackwood said: “Encryption is important in providing the secure services on the internet we all rely on, from credit card transactions and commerce to legal or medical communications.
“It is essential that the integrity and security of legitimate online transactions is maintained if we are to trust in, and benefit from, the opportunities of an increasingly digital economy. The government needs to do more to allay unfounded concerns that encryption will no longer be possible.”
Privacy watchdog attacks snooper's charter over encryption Read more
The MPs said the evidence they received suggested there were still many unanswered questions about how this legislation would work “in the fast moving world” of technological innovation. “There are good grounds to believe that without further refinement, there could be many unintended consequences for commerce arising from the current lack of clarity of the terms and scope of the legislation,” they added.
Antony Walker, deputy CEO of techUK, which represents the technology industry, said: “There are several important recommendations in this report that we urge the Home Office to take on board. In particular we need more clarity on fundamental issues, such as core definitions, encryption and equipment interference.
“These are all issues that we highlighted to the committee and can be addressed both in the bill and in the codes of practice which we believe must be published alongside the bill, and regularly updated, as recommended by the committee. Without that additional detail, too much of the bill will be open to interpretation, which undermines trust in both the legislation and the reputation of companies that have to comply with it.
“The draft bill presents an opportunity for the UK government to develop a world-leading legal framework that balances the security needs with democratic values and protects the health of our growing digital economy. But we have to get the details right.”
Matthew Rice, advocacy officer at Privacy International, said: “The home secretary introduced the draft investigatory powers bill as a ‘gold standard’ for surveillance legislation. Yet the bill is quickly tarnishing under scrutiny. Civil society, industry and now the science and technology committee all agree that the draft bill raises substantial concerns because of its lack of clarity and intrusive proposals.
“The committee’s report shows that the safety and security of users’ data may be threatened. The draft bill must be substantially revised or it will put the UK economy, as well as our privacy and security, at risk.”
Silkie Carlo, technology and surveillance policy officer for Liberty, said: “Today MPs confirm what campaigners and tech experts have been telling the government for months – the draft bill’s lack of clarity in defining or limiting surveillance powers puts us all at risk. Business is no exception.
“The forced removal of encryption from services like WhatsApp, mass hacking authorised on a whim and records of the population’s internet history would severely undermine the UK’s technology sector.
“The loss of public trust in UK tech services that the report describes is reflective of the loss of trust in freedom of expression and privacy online – trust that would be impossible to regain. It’s no wonder the industry is concerned.”"
"Meteorology|Weatherwatch|Winter|Climate change
(Environment)|Climate change
(Science)|features",2016-02-01T21:30:32,guardian,Paul Brown,"Paul Brown marks a day that was once significant in many cultures, but that might be losing its meaning as the climate changes",https://www.theguardian.com/news/2016/feb/01/warming-heart-winter,Winter’s warmer heart,en,environment|climate change,,"This is midwinter day, the halfway point between the winter solstice and spring equinox. The days are rapidly getting longer, by about four minutes, and it is marked as a significant day in many cultures. February 2 is celebrated by Christians as Candlemas, when the church candles are blessed, and by pagans as the Festival of Light. In America it is Groundhog Day, when this animal’s behaviour is said to foretell whether spring is coming.
Weatherwatch: Candlemas and the folklore factor Read more
In parts of Europe this folktale involves the hedgehog. On either continent if the animal emerges from the ground and can see his shadow he returns immediately to hibernation knowing that winter is set to continue. A British folklore rhyme about Candlemas “being sunny and bright, winter will have another flight, and if Candlemas be cloudy with rain, winter is gone and won’t come again”, makes roughly the same prophesy.
This midwinter day, after the wild, wet and mild weather of the last two months, many would welcome animals seeing their shadows and hope it heralded a spell of frosty dry weather to bring the seasons back towards a normal pattern.
But judging by the latest science published on Friday, looking at European weather over the last 30 years, we have already irrevocably changed our climate.
Meteorologists are still reluctant to give weather forecasts for more than six days in advance, and hedgehogs being in short supply in Britain, it is hard to tell what the rest of the winter has in store. But looking at computer predictions for the direction and speed of the jet stream, more warm, wet weather is on the way."
Environment|Country diary|Birds|Scotland|Wildlife|Rural affairs|features,2016-02-01T05:30:19,guardian,Carey Davies,"Country Diary: Annandale, Dumfries and Galloway We inhabit the same earth, the coal tits and I, but live in different worlds. I can fly at liberty around mine but cannot hope to enter theirs",https://www.theguardian.com/environment/2016/feb/01/coal-tits-conifer-forest-scotland,Secret lives among the conifers,en,environment|wildlife,,"Annandale, Dumfries and Galloway We inhabit the same earth, the coal tits and I, but live in different worlds. I can fly at liberty around mine but cannot hope to enter theirs. Looking at their lives is like peering down at a country where I cannot land.
The sky is overcast and the air smells softly of smoke in the still, snow-muffled high reaches of Annandale above Moffat. From within a dark stand of conifers comes a chirping as soft as grasshoppers. The source is a band of coal tits, their subtle winter-coloured plumage a match for the surrounding environment.
These birds are biologically distinct in part because of their adaptations to life in coniferous woodland, with a more slender beak than blue or great tits. Tiny tufts of snow sit precariously on the sprigs of the branches but somehow stay in place as the birds rummage within the needles for insect food, so delicate is their fidgety but precise work.
In the otherwise motionless valley, these small spirits kindle the life of the land.
The day before, on a plane returning from Kerala, I had looked down from the stratosphere as the frozen Kurdistan and Armenian highlands rolled underneath, a thousand miles of meringue-white mountains and stratovolcanoes passed over in a couple of hours. As the plane slowed on its approach to Edinburgh, the landscape of southern Scotland rose up, blanketed in snow and bell-clear in the sun, as gleaming and sterile as a laboratory compared with the torrid tropics I had left a hermetic few hours ago. Solid black conifer plantations were strewn over smooth white contours like offcuts of carpet, so different to the vast Eurasian conifer forests in which coal tits would have evolved.
Remote, abandoned and hidden in plain sight Read more
Now, peering closely into the depths of a similar border country plantation was a comforting return to earth. I imagined I’d undergone a miraculous act of shrinking, exchanging a serenely omnipotent perspective for that of a tiny creature so I could scrutinise the earth up close.
But while I had been enjoying a sojourn in the baking heat of a south Indian winter, these coal tits were roaming through dark, snow-dusted stands of spruce and pine, restless in the search for sustenance. We inhabit the same earth but live in different worlds. I can fly at liberty around mine but cannot hope to enter theirs. Looking at their lives is like peering down at a country where I cannot land."
Cities|Scotland|Scotland holidays|United Kingdom holidays|resources,2016-02-01T12:05:03,guardian,Stefan Morkis,"From AL Kennedy to Lorraine Kelly, lemmings in distress to 24 hour bakeries, culture in Dundee is more than Desperate Dan and cow pie",https://www.theguardian.com/cities/2016/feb/01/insiders-guide-dundee-scooby-snacks-grand-theft-auto,An insider's guide to Dundee: scooby snacks and Grand Theft Auto,en,world|cities,,"From AL Kennedy to Lorraine Kelly, lemmings in distress to 24 hour bakeries, culture in Dundee is more than Desperate Dan and cow pie
In five words
Design, change, Scooby snacks … teckle.
Sound of the city
Lemmings in distress. It was Dundee where the potential to turn lemmings purple before killing them on your desktop PC was first realised. The same deviant minds at Rockstar Games then created Grand Theft Auto – the game, not the crime. Now Dundee is home to dozens of developers, making everything from Minecraft to games that fight cancer as you play.
Everyone’s tuning into …
Sadly, the days of Dundee’s optimistically niche independent music TV station Channel Six and its diet of former Stephen Malkmus (of Pavement fame) videos has long gone.
Best venue
Facebook Twitter Pinterest The Reading Rooms, where not a lot of reading goes on... Photograph: Reading Rooms
Housed inside a former library, The Reading Rooms has been the hipster’s choice since before there were such things at hipsters. The best night out in Dundee and a fantastically intimate venue for live music.
Who’s top of the playlist?
Model Aeroplanes signed to Island Records last year and are expected to go over the top soon but keep an eye on The Mirror Trap, who have just completed their fourth album and could he heading for big things in 2016.
Best local artist
Novelist AL Kennedy is so Dundee she wrote a Doctor Who book and set it in the weirdest, most alien place she could image: Arbroath.
Best cultural Instagram account
DLove Dundee is, seemingly, never home. Luckily she has a great eye for pics.
What’s the big talking point?
Facebook Twitter Pinterest The new onshore location of the Victoria and Albert Museum at Dundee Waterfront. Photograph: V&A
The V&A. Construction work on the waterfront museum, first announced nine years ago, is now proceeding apace. Its cost may have rocketed from £45 million to over £80 million but it has already changed the way people view Dundee. More importantly, it’s transformed the way Dundonians think about their own city.
What does Dundee do better than anywhere else?
Reinvention. Scotland’s fourth city has often been seen as a poor relation to Glasgow, Edinburgh and Aberdeen but has fashioned an entirely new identity for itself – and is finally taking advantage of its stunning location. Not that it’s frightened to celebrate its past, or the glories of a 24 hour bakery dishing out sustenance to clubbers on their way home.
Comedy gold
Paul Pirie isn’t quite a hit yet but should be. He’s gone from hustling gigs in Dundee to one of Scotland’s funniest stand-ups. Even with the wild man beardy look he is currently sporting.
Moment in history
Sure, The Beatles and Frank Sinatra played The Caird Hall and the Emperor from Star Wars (the prequels anyway) calls Dundee home but this disco/funk band from the 70s pretty much sums Dundee up – anything goes so long as it’s good. And, the drummer Howie is a genuine local legend who can often be spotted DJing around town. Or jamming with the city’s in-house zydeco band, Boogalusa.
Best street art
Facebook Twitter Pinterest Lorraine watches over the city’s amateur footballers ... Photograph: Stefan Morkis
Dundee is famous for the grounds of its two professional teams – Dundee and Dundee United – standing just yards apart but there’s an even more interesting pitch nearby: the DFM park is a council run pitch surrounded by stunning graffiti work … and even a portrait of the city’s adopted daughter, Lorraine Kelly.
From me
Stefan Morkis is lead reporter for The Courier, a regional daily paper published in Dundee. He’s originally from Fife but likes it here now. Follow him @CS_Morkis.
Five to follow
Dan McDaid
Teckle books
Alfie Pound
Creative Dundee
Fat Goth"
Smoking|World Health Organization|Health,2016-02-01T01:01:13,guardian,Haroon Siddique,"Cigarette companies are turning to film industry to recruit next generation of smokers, warns World Health Organisation",https://www.theguardian.com/society/2016/feb/01/films-portraying-smoking-should-get-adult-rating-says-who,"Films portraying smoking should get adult rating, says WHO",en,UK|society,,"Films showing smoking should be given an adult rating to protect children from exposure to the “last frontier” in tobacco promotion, the World Health Organisation has said.
Hoping to highlight the issue in the run-up to the Oscars, WHO said that as countries crack down on tobacco advertising and sponsorship, cigarette companies are turning to the film industry to recruit the next generation of smokers.
In its report, Smoke-free Movies, published on Monday, WHO cites statistics claiming that 44% of all Hollywood films, and 36% of films rated for young people in 2014 contained smoking.
It illustrates the exposure this gives the deadly habit with the example of Transformers: Age of Extinction, which features a cigar-smoking robot.
In 2014, the film delivered a total of 2.6bn “impressions” of tobacco use, which they calculate by a film’s tobacco incidents multiplied by its paid cinema admissions, in China alone, according to the report.
Dr Armando Peruga, programme manager of WHO’s tobacco-free initiative, said: “We saw for a while a decrease in the tobacco incidences in films and other entertainment productions. But based on what we monitored, we saw, in 2013-14, a turning point, a picking up of the number of tobacco scenes.
“The tobacco industry has been looking at alternatives to promote their products and films is the last frontier for tobacco companies.”
WHO first called for films featuring smoking to be restricted to adult audiences – generally those aged 18 or over but the age of majority varies by country – in 2009.
Peruga said it had renewed its campaign because no government had implemented the recommendation and amid fears that, as countries implement a WHO convention to ban tobacco advertising, promotion and sponsorship, films become seen as a lucrative alternative.
A US study suggests that on-screen smoking accounts for 37% of all new adolescent smokers. In 2014, the US Centers for Disease Control and Prevention estimated that exposure to on-screen smoking would recruit more than 6 million new, young smokers from among American children in 2014, of which 2 million would ultimately die from tobacco-induced diseases.
Peruga said that attempts, largely in the US, to persuade film companies to comply with two other recommendations of the report – not to show brands and to include a statement in the credits saying that film producers receive nothing of value in exchange for tobacco products appearing – had fallen on deaf ears.
A study of the 15 most commercially successful films in the UK between 1989 and 2008 found tobacco in 70% of all films, 92% of which were rated for children aged younger than 18. Specific brands appeared in 9% of films and was nearly twice as likely to occur in films originating wholly or in part in the UK.
“In some films the percentage of tobacco scenes are far greater than you would see in the society in which the film is set,” said Peruga.
The British Board of Film Classification said the public agreed that the classification of smoking in films should be proportionate and reflective of UK laws, so an adult smoking should not instantly require an 18 classification. But it said glamorisation of smoking was more likely to receive a higher classification.
Simon Clark, the director of the smokers’ group Forest, said: “Disney has a no smoking policy for its PG 13-rated films, and that’s fine, but films aimed at older audiences must be allowed to reflect real life, not some sanitised smoke-free world.
“Penalising films that portray smoking by giving them a rating equivalent to an 18 certificate is a clumsy and unnecessary attempt at censorship.”"
Society|This is the NHS|Work practices|Older people|NHS|Health|blogposts,2016-02-01T07:01:04,guardian,Sarah Johnson|As Told To,"Helping elderly people to stay in their homes when they are struggling to cope can be hard physically and mentally, but pink wafer biscuits aren’t the only upside",https://www.theguardian.com/society/2016/feb/01/the-secret-rapid-response-workers-diary-there-are-patients-who-lift-my-spirits,The secret rapid response worker's diary: 'There are patients who lift my spirits',en,UK|society,,"Helping elderly people to stay in their homes when they are struggling to cope can be hard physically and mentally, but pink wafer biscuits aren’t the only upside
Monday
My role is to assess and help elderly patients stay at home and so reduce inappropriate hospital admissions. As soon as I walk in the door I can tell it’s bad. “Everyone’s out,” gasps the coordinator, staggering over with an armful of equipment. “All the clinicians are doing care calls. We took so many referrals over the weekend.” She dumps the equipment on her desk and stands looking at it helplessly. “I can’t do this,” I think.
My first visit sets the tone for the day: an elderly woman with Alzheimer’s lying in bed. Her husband was the carer, their daughter tells me, but he’s now in hospital. The woman’s mobility is poor, exacerbated by a urinary tract infection, and the daughter isn’t able to help me move her. I can feel my back protesting as I struggle to lift the patient to clean her. I should wait for assistance, but there won’t be any. Everything’s failing, especially me.
Tuesday
A crisis is acknowledged and a meeting held. Extra bank staff are hired – many of them are like battle-worn mercenaries who know the score better than anyone. The extra staff act as a bracing shot in the arm and immediately ease the workload. I’ll have more time for the patients such as William and Jean.
Jean has Parkinson’s disease. “Forty-five years we’ve been married,” says William. “You have your ups and downs. Sometimes I think I should just take a load of pills and end it all, but then – what would happen to Jean?” We talk about ways to make things better – GP review, psychiatric assessment, respite care, time away. “It helps just to have you sit and listen,” he says.
Wednesday
The majority of our referrals are elderly patients coming to the end of their ability to cope at home. We make what improvements we can, installing equipment, offering physiotherapy, putting in temporary care workers until other agencies can pick up. All the patients have suffered an acute medical crisis, but some are less dramatic than others. Lionel, 96, still lives independently in the top flat of a converted Georgian townhouse. Lionel is so lovely, it’s hard to focus on the purpose of the visit – a health screen to see how he’s doing after a recent exacerbation of gout. The relentless caseload of elderly people failing to cope at home takes its toll. Fortunately there are always patients such as Lionel to lift your spirits.
Thursday
Maybe it’s the sunshine, but all the patients seem charming today. Jack jokes with me while his wife sleeps in a chair, curled in on herself like a giant dormouse, pale and empty. I write a few notes; Jack staggers off to the kitchen, his left leg, which is bandaged, dragging. He returns and puts a plate in front of me, piled high with pink wafer biscuits.
Friday
It’s my day off. I go back to work tomorrow but for now it’s great to take our dog for a walk. Sometimes it’s hard not to think about some of the patients I’ve seen. Scenes of deprivation, isolation. How on earth did they end up like that? Could it happen to me?
Most difficult decision: I didn’t know if I was right to file a vulnerable adult report on a woman who refused help and had taken to her bed because she “just wanted nature to take its course”.
Most satisfying result: A few simple interventions for Lionel meant he was able to carry on as before. Finding and making those changes means it’s hard to seriously think about leaving my job.
Some names have been changed
Join the Healthcare Professionals Network to read more pieces like this. And follow us on Twitter (@GdnHealthcare) to keep up with the latest healthcare news and views."
